,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
36,Mary Louise Kelly,3 women from different backgrounds detail why they're voting for Harris,Is Georgia ready to cast its 16 electoral votes for a woman for president? We put that question to three women who have lived through a few election cycles in the state.,https://www.npr.org/2024/09/30/nx-s1-5123647/kamala-harris-georgia-women-vote-election-2024,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/3000x1688+0+0/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F5f%2Fbb%2F2605f3234550a05a318e5ddbfc44%2Funtitled-design-6.jpg,2024-09-30T09:00:00Z,"The state of Georgia has never elected a female governor or U.S. senator. So, given that fact, we wanted to know: Are Georgians ready to make history and cast their 16 electoral votes for the first w… [+4502 chars]",,NPR
37,Alice Tecotzky,A researcher who studied Trump's plans to control the Fed said it could tank the economy,"Economists at a top think tank found Trump's threat to undermine the Fed would lower GDP, raise inflation, and cause capital to flow out of the US.",https://www.businessinsider.com/trump-control-federal-reserve-jerome-powell-tariffs-inflation-2024-9,https://i.insider.com/66f70ceaf9f6733e4be07f74?width=1200&format=jpeg,2024-09-29T10:00:02Z,"An economist said that undermining the independence of the Fed could shrink the American economy and cause capital to flow to other countries.Drew Angerer/Getty Images
<ul><li>Economists at the Pete… [+4288 chars]",business-insider,Business Insider
38,"Alice Tecotzky,Brent D. Griffiths,Jacob Shamsian",Eric Adams is taking a page out of the Trump playbook,"Mayor Eric Adams is denying any wrongdoing in language that mimics the former president, saying the allegations are ""based on lies.""",https://www.businessinsider.com/eric-adams-donald-trump-lawsuit-biden-immigraiton-2024-9,https://i.insider.com/66f6d56f75c877a99b61413b?width=1200&format=jpeg,2024-09-27T17:00:28Z,"In his denials of any wrongdoing, Adams is invoking many of Trump's preferred lines.Getty Images
<ul><li>Eric Adams was indicted on 5 criminal charges but denies wrongdoing in language that mirrors … [+4474 chars]",business-insider,Business Insider
39,John L. Dorman,A bloc of Trump voters in key swing states also backs Democratic Senate candidates. Here's why that matters.,A relatively small but significant bloc of Trump's backers are also voting for Democratic Senate candidates. It could help them hold their majority.,https://www.businessinsider.com/trump-harris-senate-ticket-splitting-swing-states-2024-9,https://i.insider.com/66f9b33bf44bdb4cfa37f300?width=1200&format=jpeg,2024-09-29T21:05:35Z,"A slice of voters backing former President Donald Trump are also planning to support Democratic Senate candidates.Scott Olson/Getty Images
<ul><li>Donald Trump hopes to push several swing-state GOP … [+5484 chars]",business-insider,Business Insider
40,Alice Tecotzky,Campaign staffers are stressed — and it shows in their diets,"Campaign staffers rarely have time to sit for a meal, relying instead on cigarettes and drive-thrus. Their wacky diet may reflect a dangerous culture.",https://www.businessinsider.com/campaign-election-staff-diet-coke-mcdonalds-cigarette-harris-trump-2024-9,https://i.insider.com/66e98a0dce3009a0fac6c272?width=1200&format=jpeg,2024-09-28T10:33:02Z,"Campaign staff is typically stocked with comfort food — but one can only eat pizza so many days in a row.MANDEL NGAN
<ul><li>Current and former campaign staffers told BI that they rarely have time t… [+4414 chars]",business-insider,Business Insider
41,Theron Mohamed,An uncertainty guru says investors can't dismiss doubt — and even Warren Buffett's success may be down to luck,"Don't ignore doubt even if Elon Musk or John Paulson are making predictions — and investors like Warren Buffett may just be lucky, says David Tuckett.",https://www.businessinsider.com/elon-musk-warren-buffett-investment-predictions-david-tuckett-luck-uncertainty-2024-9,https://i.insider.com/66f6b87875c877a99b612c6f?width=1200&format=jpeg,2024-09-29T09:02:02Z,"Not even Elon Musk's predictions are always accurate.Britta Pedersen-Pool/Getty Images
<ul><li>Predictions carry doubt no matter who is making them — even if it's Elon Musk or John Paulson, one expe… [+3857 chars]",business-insider,Business Insider
42,Ayomikun Adekaiyero,"Bowen Yang defended his 'Saturday Night Live' Chappell Roan Moo Deng joke, after fans accused him of making fun of her mental health struggles","Fans accused Bowen Yang of mocking Chappell Roan's request for fans to respect her boundaries with a skit where he likened her to viral pygmy hippo, Moo Deng.",https://www.businessinsider.com/saturday-night-live-snl-bowen-yang-chappell-roan-joke-deng-2024-9,https://i.insider.com/66fa7e0df44bdb4cfa37fffc?width=1200&format=jpeg,2024-09-30T11:48:40Z,"Bowen Yang dressed as the internet-famous baby hippo, Moo Deng, and Colin Jost on the September 28th episode of ""Saturday Night Live.""Will Heath / NBC via Getty Images
<ul><li>Bowen Yang poked fun a… [+4142 chars]",business-insider,Business Insider
43,,How are pronouns processed in the memory-region of our brain?,A new study shows how individual brain cells in the hippocampus respond to pronouns. 'This may help us unravel how we remember what we read.',https://www.sciencedaily.com/releases/2024/09/240927173201.htm,https://www.sciencedaily.com/images/scidaily-icon.png,2024-09-27T21:32:01Z,"Read the following sentence: ""Donald Trump and Kamala Harris walked into the bar, she sat down at a table."" We all immediately know that it was Kamala who sat at the table, not Donald. Pronouns like … [+3827 chars]",,Science Daily
44,William Vaillancourt,‘SNL’ Cold Open: Kamala Dances While Trump Longs For Old Biden,"Featuring Maya Rudolph as Harris, comedian Jim Gaffigan as Tim Walz, Andy Samberg as Doug Emhoff, and Dana Carvey as Joe Biden",http://www.rollingstone.com/tv-movies/tv-movie-news/snl-cold-open-kamala-dances-while-trump-longs-old-joe-biden-1235115618/,https://www.rollingstone.com/wp-content/uploads/2024/09/Screen-Shot-2024-09-29-at-12.24.07-AM.png?w=1358&h=705&crop=1,2024-09-29T04:40:56Z,"Saturday Night Live‘s 50th season premiered with show alum Maya Rudolph reprising her role as “fun aunt” Kamala Harris, this time holding a jovial campaign rally while Donald Trump and JD Vance try n… [+2463 chars]",,Rolling Stone
45,Tony Maglio,Netflix Cancellations Nearly Tripled After Chairman Reed Hastings Endorsed Kamala Harris,The Netflix co-founder endorsed the vice president on July 23. The five-day period of July 25-29 saw Netflix churn increase by 2.7x.,https://www.indiewire.com/news/business/netflix-cancellations-soar-chairman-reed-hastings-endorsed-kamala-harris-1235052384/,https://www.indiewire.com/wp-content/uploads/2024/09/GettyImages-695624.jpg?w=650,2024-09-30T18:30:00Z,"Netflix chairman Reed Hastings believes Kamala Harris will be good for America — even if his support for her may not be good for Netflix.
Days after Hastings, the co-founder of Netflix and former co… [+2493 chars]",,IndieWire
46,Quartz Bot,"Google on the hot seat, Intel's brutal year, and Elon Musk vs. Kamala Harris on space: Tech news roundup","According to SpaceX CEO Elon Musk, if Vice President Kamala Harris wins the 2024 presidential election, we can say goodbye to life as we know it — eventually.Read more...",https://qz.com/google-antitrust-trials-intel-elon-musk-kamala-harris-1851659741,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/ba2b3ff6e6892d1abef8233898e1a987.jpg",2024-09-28T13:00:00Z,"These are perilous times for Google. Still the worlds fourth most-valuable company, earning $100 billion last year, regulators in the U.S. and Europe are increasingly frustrated by Googles monopoly o… [+215 chars]",,Quartz India
